Biomass species,MC,VM,FC,Ash,C,H,O,N,S,oC,ER,S/B,CO,CO2,H2,CH4
Poultry litter,22.1,57.37,6.86,13.67,55.09,6.48,31.01,6.53,0.91,700,0.3,0,24.35,39.21,30.26,6.18
Poultry litter,22.1,57.37,6.86,13.67,55.09,6.48,31.01,6.53,0.91,700,0.3,0.24,19.78,37.54,37.2,5.48
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,750,0.35,0.5,28.51,46.33,20.49,4.68
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.3,0.5,30.95,38.74,24.42,5.89
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.35,0.2,32.08,43.56,17.8,6.56
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.35,0.5,28.69,43.47,22.27,5.57
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.4,0.5,26.81,47.25,21.1,4.84
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,850,0.35,0.5,30.08,38.17,25.52,6.22
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,800,0.35,0.8,26.4,43.87,24.53,5.2
Rice husk,9.95,55.54,14.99,19.52,49.07,3.79,46.42,0.63,0.09,850,0.35,0.8,28.06,40.32,25.89,5.73
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,650,0.25,0,30.69,43.9,19.5,5.91
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,750,0.25,0,32.04,44.45,15.23,8.28
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,850,0.25,0,36.39,40.59,16.02,6.99
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,950,0.25,0,38.71,34.45,20.24,6.59
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,1050,0.25,0,40.25,28.33,24.88,6.53
Empty Fruit Bunch,7.8,79.34,8.36,4.5,43.52,5.72,48.9,1.2,0.66,770,0.17,0,35.45,40.9,16.29,7.36
